SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	March 01, 2021	February 26, 2021	February 25, 2021	February 24, 2021	February 23, 2021
Chinese yuan		0.1074470000	0.1071560000	0.1071520000	0.1071850000
Euro		0.8421620000	0.8450540000	0.8407220000	0.8409440000
Japanese yen		0.0065404900	0.0065181600	0.0065609500	
U.K. pound		0.9675030000	0.9771520000	0.9784310000	0.9757110000
U.S. dollar		0.6947960000	0.6912510000	0.6921800000	0.6925340000
Algerian dinar		0.0052341400	0.0052169600	0.0052182500	0.0052211600
Australian dollar		0.5439560000	0.5509270000	0.5477220000	0.5486950000
Botswana pula		0.0632264000	0.0640098000	0.0638882000	0.0638516000
Brazilian real		0.1256500000	0.1266170000	0.1277650000	0.1271080000
Brunei dollar		0.5232290000	0.5241520000	0.5244190000	
Canadian dollar		0.5477300000	0.5516770000	0.5516260000	0.5494990000
Chilean peso		0.0009812950	0.0009823790	0.0009793710	0.0009758810
Colombian peso		0.0001936320	0.0001931790	0.0001927880	0.0001922420
Czech koruna		0.0321486000	0.0323741000	0.0323645000	0.0324615000
Danish krone		0.1132530000	0.1136380000	0.1130550000	0.1130820000
Indian rupee		0.0095124400	0.0095351100	0.0095747400	0.0095692600
Israeli New Shekel			0.2107470000	0.2120650000	0.2121730000
Korean won		0.0006268460	0.0006226360	0.0006231360	0.0006258780
Kuwaiti dinar				2.2931300000	2.2943000000
Malaysian ringgit		0.1715760000	0.1711020000	0.1713740000	0.1713340000
Mauritian rupee		0.0173740000	0.0173071000	0.0173354000	0.0173363000
Mexican peso		0.0331819000	0.0331499000	0.0338058000	0.0336454000
New Zealand dollar		0.5106060000	0.5139450000	0.5082680000	0.5076270000
Norwegian krone		0.0809682000	0.0826252000	0.0820352000	0.0814947000
Omani rial		1.8070100000	1.7977900000	1.8002100000	1.8011300000
Peruvian sol		0.1905120000	0.1896440000	0.1896900000	0.1896830000
Philippine peso		0.0142853000		0.0142128000	0.0142608000
